start_idx_attack,end_idx_attack,attack_duration,time_to_detect,idx_detection_abs,idx_detection_rel,attack_len,attack_type,fpr,tpr,pr,rec,tn,fp,fn,tp,target_fpr,detected
2072676,2089910,0 days 00:00:26.657613,0 days 00:00:00.008447,2072697,12,13974,Sub_DDoS_AD,,0.4396021182195506,1.0,0.4396021182195506,,0,7831,6143,0.05,1
2112708,2122987,0 days 00:00:15.486076,0 days 00:00:15.486076,2122987,8371,8372,Sub_DDoS_AD,,0.0,0.0,0.0,,0,8372,0,0.05,0
2159109,2171283,0 days 00:00:16.589853,0 days 00:00:16.589853,2171283,10268,10269,Sub_DDoS_AD,,0.0,0.0,0.0,,0,10269,0,0.05,0
2172780,2179983,0 days 00:00:11.323610,0 days 00:00:11.323610,2179983,5909,5910,Sub_DDoS_AD,,0.0,0.0,0.0,,0,5910,0,0.05,0
2229131,2238384,0 days 00:00:16.669612,0 days 00:00:16.669612,2238384,7134,7135,Sub_DDoS_AD,,0.0,0.0,0.0,,0,7135,0,0.05,0
2253797,2269100,0 days 00:00:20.601679,0 days 00:00:05.723314,2258546,4088,12798,Sub_DDoS_AD,,0.4810126582278481,1.0,0.4810126582278481,,0,6642,6156,0.05,1
2309409,2318680,0 days 00:00:21.402387,0 days 00:00:00,2309409,0,6467,WILL_DDoS_AD,,0.43265811040668006,1.0,0.43265811040668006,,0,3669,2798,0.05,1
2323101,2342536,0 days 00:00:29.665017,0 days 00:00:00,2323101,0,15894,WILL_DDoS_AD,,0.45652447464451995,1.0,0.45652447464451995,,0,8638,7256,0.05,1
2411288,2426860,0 days 00:00:23.902158,0 days 00:00:23.902158,2426860,13012,13013,WILL_DDoS_AD,,0.0,0.0,0.0,,0,13013,0,0.05,0
2459512,2470929,0 days 00:00:17.281121,0 days 00:00:15.709059,2470129,8994,9608,WILL_DDoS_AD,,0.03913405495420483,1.0,0.03913405495420483,,0,9232,376,0.05,1
2475510,2490046,0 days 00:00:28.532174,0 days 00:00:00,2475510,0,11435,WILL_DDoS_AD,,0.680192391779624,1.0,0.680192391779624,,0,3657,7778,0.05,1
2496355,2518768,0 days 00:00:29.497539,0 days 00:00:00.000085,2496356,1,19308,WILL_DDoS_AD,,0.14926455355293142,1.0,0.14926455355293142,,0,16426,2882,0.05,1
2528818,2550554,0 days 00:00:29.511603,0 days 00:00:09.892183,2535782,5749,17977,WILL_DDoS_AD,,0.44278800689770265,1.0,0.44278800689770265,,0,10017,7960,0.05,1
2560777,2574276,0 days 00:00:17.514297,0 days 00:00:00.007148,2560786,6,11619,WILL_DDoS_AD,,0.20414837765728547,1.0,0.20414837765728547,,0,9247,2372,0.05,1
2593081,2604462,0 days 00:00:14.735332,0 days 00:00:08.448134,2600092,6252,10034,WILL_DDoS_AD,,0.25493322702810445,1.0,0.25493322702810445,,0,7476,2558,0.05,1
2620181,2642538,0 days 00:00:27.473167,0 days 00:00:00,2620181,0,19359,WILL_DDoS_AD,,0.620073350896224,1.0,0.620073350896224,,0,7355,12004,0.05,1
2711672,2731512,0 days 00:00:28.674782,0 days 00:00:28.674782,2731512,17056,17057,WILL_DDoS_AD,,0.0,0.0,0.0,,0,17057,0,0.05,0
2791929,2807971,0 days 00:00:21.047112,0 days 00:00:14.848936,2803268,9862,13998,WILL_DDoS_AD,,0.19517073867695386,1.0,0.19517073867695386,,0,11266,2732,0.05,1
2811434,2829513,0 days 00:00:24.718208,0 days 00:00:00,2811434,0,15030,WILL_DDoS_AD,,0.4465069860279441,1.0,0.4465069860279441,,0,8319,6711,0.05,1
